market_id,average_price,std_dev,clear_price
1,64.9907144704,16,62.3257674887
2,64.9704286381,16,59.1576802758
3,64.9456548434,16,57.8651471259
4,64.9185467724,16,57.192875549
5,64.888248155,16,56.2739982144
6,64.8580542201,16,56.3041467388
7,64.8242032153,16,55.250910604
8,64.7881222574,16,54.6086841227
9,64.7498448625,16,53.9761102845
10,64.7104653578,16,53.6587026383
11,64.6687695641,16,52.9916114124
12,64.625088888,16,52.4199652904
13,64.5792147814,16,51.78825731
14,64.5317782605,16,51.3382819587
15,64.4812411441,16,50.4453104942
16,64.4291738808,16,50.0046281753
17,64.3738317768,16,49.0614740287
18,64.3139047885,16,47.7410273778
19,64.2502896904,16,46.678851755
20,64.1822308902,16,45.3990655444
21,64.1082550676,16,43.6949630886
22,64.0311449519,16,42.7922866734
23,63.9514608323,16,42.0509735642
24,63.8672410071,16,40.744690343
