Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_7_output (kW),DG_152_output (kW),DG_18_output (kW),DG_57_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2017-12-07-09:08:26,1,True,29.2679009054,0.0,0.0,0.0,50.7776478078,300.0,22.5899851498,250.0,41.1922552229,128097.428152,1494.7094834,1622.74703255,2161.187296474005
2017-12-07-09:13:26,2,True,55.4230999331,45.9189087035,0.000977892556237,0.00480364436366,50.0004983217,97.4400385115,20.0006763307,56.0770014716,40.000407857,12.2279084285,1108.7384231,1108.7384231,1257.2920082203814
2017-12-07-09:18:26,3,True,38.5703251501,58.1942316021,0.0,0.00124716280015,50.0,76.3274810514,20.0,39.0136939229,40.0,9.97167046787,1039.6631308,1039.6631308,1150.5283044587056
2017-12-07-09:23:27,4,True,50.1415051679,0.0,0.000188863755184,1.04182045906,50.0000853224,68.3875000337,20.0001620207,32.722536014,40.0000731721,9.16422792862,1046.3104239,1046.3104239,1141.6934036453847
2017-12-07-09:28:27,5,True,37.1661785352,0.0,0.00150044220582,0.556446888851,50.0005408196,47.9537785469,20.0006614086,21.2638564407,40.0004353763,7.76125573297,1059.4075009,1059.4075009,1123.4073839569328
2017-12-07-09:33:27,6,True,0.0,0.0,3.0409399241,0.0,50.0,30.0,20.0,20.0,40.0,7.10095426557,1140.2835381,1140.2835381,1181.2270039844173
2017-12-07-09:38:27,7,True,40.5825459827,0.0,0.54841881829,1.69677631393,50.0,30.0,20.0,20.0,40.0,7.01245701336,1130.518095,1130.518095,1172.6213502258408
2017-12-07-09:43:27,8,True,0.0,0.0,21.3910088429,0.0,50.0002980714,30.000419919,20.0003452604,20.0003024398,40.0002385707,7.07659124467,1138.6726463,1138.6726463,1155.0507386310524
2017-12-07-09:48:26,9,True,0.0,0.0,27.9136792515,0.0,50.0002106731,30.0002967963,20.0002440235,20.0002137624,40.0001686184,7.06786133745,1153.3631697,1153.3631697,1160.9331856131776
2017-12-07-09:53:26,10,True,0.0,0.0,56.6145050579,0.0,50.0,30.0000553885,20.0,20.0,40.0,7.0295288444,1206.4865848,1206.4865848,1175.3154772526266
2017-12-07-09:58:26,11,True,0.0,0.0,67.1409944027,0.0,50.0,30.0000686135,20.0000564144,20.0,40.0,7.0154970712,1201.2495096,1201.2495096,1156.0002730954104
2017-12-07-10:03:26,12,True,0.0,0.0,24.0620778553,0.0,50.0002818691,30.0003970968,20.0003264916,20.000286002,40.0002256025,7.07302369946,1137.7418507,1137.7418507,1150.573635098321
2017-12-07-10:08:26,13,True,0.0,0.0,89.7846451294,0.0,50.0,30.0,20.0,20.0,40.0,6.9852902214,1198.5943928,1198.5943928,1123.0670616550858
2017-12-07-10:13:26,14,True,0.0,0.0,12.7165074533,0.0,50.0002013685,30.0002836776,20.0002332507,20.000204315,40.0001611719,7.08812071872,1081.6779624,1081.6779624,1110.1816391851319
2017-12-07-10:18:26,15,True,0.0,0.0,25.6689406743,0.0,50.0002271685,30.0003200369,20.0002631307,20.0002304996,40.000181821,7.07086055318,1043.0273049,1043.0273049,1054.4731135667569
2017-12-07-10:23:26,16,True,0.0,0.0,16.8600716212,0.0,50.0002666573,30.0003756673,20.0003088741,20.0002705659,40.0002134276,7.08262062864,1000.2228509,1000.2228509,1023.7725991513864
2017-12-07-10:28:26,17,True,0.0,0.0,0.00172474089949,0.0,50.0006201685,39.5352188729,20.0011963069,21.5722161003,40.0005171351,7.48666035174,957.9893869,957.9893869,1015.4492771372503
2017-12-07-10:33:26,18,True,0.0,0.0,0.0,0.0,50.0,75.6505419585,20.0,38.439354084,40.0,9.90460180538,877.7174133,877.7174133,988.6615629702482
2017-12-07-10:38:26,19,True,0.0,0.0,0.0,0.0,50.0,105.615176838,20.0,62.6260288375,40.0,13.2060577667,840.283892,840.283892,1005.6842591175634
2017-12-07-10:43:26,20,True,0.0,0.0,0.000513874894693,0.0,50.0003796286,122.854004933,20.0045453532,76.5453059621,40.0004575327,15.4737962289,756.8539041,756.8539041,953.8135282591368
2017-12-07-11:15:49,21,True,0.0,0.0,0.000455926333306,0.0,50.0004453667,174.445757126,20.0040138478,118.190297898,40.0004678439,23.8640583765,680.6190517,680.6190517,971.2953263099362
2017-12-07-11:15:51,22,True,0.0,0.0,0.000455926333306,0.0,50.0004453667,174.445757126,20.0040138478,118.190297898,40.0004678439,23.8640583765,680.6190517,680.6190517,971.2953263099362
2017-12-07-11:15:51,23,True,0.0,0.0,0.000455926333306,0.0,50.0004453667,174.445757126,20.0040138478,118.190297898,40.0004678439,23.8640583765,680.6190517,680.6190517,971.2953263099362
2017-12-07-11:15:54,24,True,0.0,0.0,0.000455926333306,0.0,50.0004453667,174.445757126,20.0040138478,118.190297898,40.0004678439,23.8640583765,680.6190517,680.6190517,971.2953263099362
2017-12-07-11:15:55,25,True,0.0,0.0,0.000455926333306,0.0,50.0004453667,174.445757126,20.0040138478,118.190297898,40.0004678439,23.8640583765,680.6190517,680.6190517,971.2953263099362
2017-12-07-11:15:57,26,True,0.0,0.0,0.0,0.0,50.0000836793,178.008591545,20.0001685559,121.065602225,40.000068028,24.5320067317,674.1460187,674.1460187,971.2949218547335
2017-12-07-11:18:27,27,True,0.0,0.0,0.00022302977324,0.0,50.0001791161,159.969828541,20.0014796892,106.506762996,40.0001717762,21.2670082959,681.9566691,681.9566691,946.4103298825171
